"employee_id";"first_name";"last_name";"role";"phone";"email";"shelter_id"
1;"Emma";"Carter";"Manager";"3051112233";"ecarter@happypaws.org";1
2;"Noah";"Bennett";"Animal Caretaker";"3051118899";"nbennett@happypaws.org";1
3;"Chloe";"Martin";"Vet Tech";"";"cmartin@happypaws.org";1
4;"Sophia";"Mitchell";"Manager";"3052223344";"smitchell@friendskennels.org";2
5;"Liam";"Turner";"Vet Tech";"3052224477";"lturner@friendskennels.org";2
6;"Grace";"Owens";"Animal Caretaker";"3052225599";"gowens@friendskennels.org";2
7;"Olivia";"Reed";"Manager";"3053335566";"oreed@barkfriends.org";3
8;"Ethan";"Brooks";"Groomer";"3053337788";"ebrooks@barkfriends.org";3
9;"Zoe";"Hughes";"Volunteer Coordinator";"3053339911";"zhughes@barkfriends.org";3
10;"Ava";"Hayes";"Vet Tech";"3054446677";"ahayes@mirescue.org";4
11;"Mason";"Cole";"Manager";"3054448899";"mcole@mirescue.org";4
12;"Nora";"Price";"Manager";"";"nprice@mirescue.org";4
13;"Mia";"Foster";"Volunteer Coordinator";"7861112244";"mfoster@pinecresthaven.org";5
14;"Logan";"Gray";"Manager";"7861115566";"lgray@pinecresthaven.org";5
15;"Harper";"James";"Manager";"7862223344";"hjames@kendallpets.org";6
16;"Lucas";"Parker";"Vet Assistant";"7869991122";"lparker@kendallpets.org";6
